event_date,code,market,status_type,status_value,source,source_url,raw_path,confidence,notes
2026-04-20,106080,KOSDAQ,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,snapshot=managed_issue; 종목명=케이이엠텍; 지정사유=상장폐지사유 발생; market_enrichment=market_data_join:KOSDAQ
2026-04-21,452670,KOSDAQ,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,snapshot=delisted_company; 회사명=상상인제4호스팩; 폐지사유=상장예비심사신청서 미제출 등으로 관리종목으로 지정된 날부터 1개월 이내 동 사유 미해소; market_enrichment=market_data_join:KOSDAQ
2026-05-04,152550,KOSPI,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,snapshot=delisted_company; 회사명=한국ANKOR유전; 폐지사유=해산 사유 발생; market_enrichment=market_data_join:KOSPI
2026-05-07,452980,KOSDAQ,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,snapshot=delisted_company; 회사명=신한제11호스팩; 폐지사유=합병상장예비심사신청서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소; market_enrichment=market_data_join:KOSDAQ
2026-05-08,139050,KOSDAQ,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,snapshot=delisted_company; 회사명=BF랩스; 폐지사유=감사의견 거절(감사범위 제한); market_enrichment=market_data_join:KOSDAQ
2026-05-08,217620,KOSDAQ,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,snapshot=delisted_company; 회사명=선샤인푸드; 폐지사유=감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성); market_enrichment=market_data_join:KOSDAQ
2026-05-14,368030,UNKNOWN,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,snapshot=delisted_company; 회사명=창대정밀; 폐지사유=감사의견 한정(감사범위 제한)
2026-05-18,348950,KOSPI,managed_issue,designated,kind,https://kind.krx.co.kr/investwarn/adminissue.do?method=searchAdminIssueList,_report/raw/2026/2026-07-09/kind/status-source-probe/managed_issue.xls,high,"snapshot=managed_issue; 종목명=제이알글로벌리츠; 지정사유=반기검토의견 의견거절,회생절차개시신청; market_enrichment=market_data_join:KOSPI"
2026-05-19,462020,KOSDAQ,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,snapshot=delisted_company; 회사명=에이치엠씨제6호스팩; 폐지사유=상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소; market_enrichment=market_data_join:KOSDAQ
2026-05-19,466910,KOSDAQ,delisting,delisted,kind,https://kind.krx.co.kr/investwarn/delcompany.do?method=searchDelCompanyMain,_report/raw/2026/2026-07-09/kind/status-source-probe/delisted_company.xls,high,snapshot=delisted_company; 회사명=엔에이치스팩30호; 폐지사유=피흡수합병(스팩소멸합병); market_enrichment=market_data_join:KOSDAQ
