date,code,stock_name,market,signal_state,horizon_trading_days,evaluation_status,forward_date,signal_close,forward_close,raw_forward_return_pct,directional_forward_score_pct,source_strategy,signal_mode,evaluation_mode
2025-02-04,204270,제이앤티씨,KOSDAQ,SELL candidate,1,complete,2025-02-05,18920.0000,19120.0000,1.0571,-1.0571,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,204270,제이앤티씨,KOSDAQ,SELL candidate,5,complete,2025-02-11,18920.0000,22700.0000,19.9789,-19.9789,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,008730,율촌화학,KOSPI,SELL candidate,1,complete,2025-02-05,26000.0000,26750.0000,2.8846,-2.8846,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,008730,율촌화학,KOSPI,SELL candidate,5,complete,2025-02-11,26000.0000,32750.0000,25.9615,-25.9615,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,387570,파인메딕스,KOSDAQ,SELL candidate,1,complete,2025-02-05,7550.0000,7750.0000,2.6490,-2.6490,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,387570,파인메딕스,KOSDAQ,SELL candidate,5,complete,2025-02-11,7550.0000,8130.0000,7.6821,-7.6821,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,079900,전진건설로봇,KOSPI,SELL candidate,1,complete,2025-02-05,36850.0000,37400.0000,1.4925,-1.4925,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,079900,전진건설로봇,KOSPI,SELL candidate,5,complete,2025-02-11,36850.0000,55400.0000,50.3392,-50.3392,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,365330,에스와이스틸텍,KOSDAQ,SELL candidate,1,complete,2025-02-05,6720.0000,6810.0000,1.3393,-1.3393,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,365330,에스와이스틸텍,KOSDAQ,SELL candidate,5,complete,2025-02-11,6720.0000,7960.0000,18.4524,-18.4524,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,004870,티웨이홀딩스,KOSPI,SELL candidate,1,complete,2025-02-05,975.0000,965.0000,-1.0256,1.0256,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,004870,티웨이홀딩스,KOSPI,SELL candidate,5,complete,2025-02-11,975.0000,905.0000,-7.1795,7.1795,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,451220,아이엠티,KOSDAQ,SELL candidate,1,complete,2025-02-05,9520.0000,9590.0000,0.7353,-0.7353,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,451220,아이엠티,KOSDAQ,SELL candidate,5,complete,2025-02-11,9520.0000,11190.0000,17.5420,-17.5420,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,417840,저스템,KOSDAQ,SELL candidate,1,complete,2025-02-05,8380.0000,8230.0000,-1.7900,1.7900,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,417840,저스템,KOSDAQ,SELL candidate,5,complete,2025-02-11,8380.0000,8510.0000,1.5513,-1.5513,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,011790,SKC,KOSPI,SELL candidate,1,complete,2025-02-05,139600.0000,145200.0000,4.0115,-4.0115,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-04,011790,SKC,KOSPI,SELL candidate,5,complete,2025-02-11,139600.0000,153700.0000,10.1003,-10.1003,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,351320,에스에이티이엔지,KOSDAQ,BUY candidate,1,complete,2025-02-06,3015.0000,2790.0000,-7.4627,-7.4627,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
2025-02-05,351320,에스에이티이엔지,KOSDAQ,BUY candidate,5,complete,2025-02-12,3015.0000,2575.0000,-14.5937,-14.5937,001-strategy-universe-momentum,paper_signal_candidate_only,paper_forward_return_smoke_only
