code,name,market,security_type,listing_date,listing_age_calendar_days,base_status,base_reason,status,reason,avg_trading_value_20d_krw,liquidity_filter_status,liquidity_filter_reason,liquidity_rows_available,liquidity_rows_used,liquidity_latest_date,liquidity_raw_path
046940,우원개발,KOSDAQ,보통주,2002/06/18,8761,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
046970,우리로,KOSDAQ,보통주,2012/11/27,4946,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
047040,대우건설,KOSPI,보통주,2001/03/23,9213,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
047050,포스코인터내셔널,KOSPI,보통주,2001/03/23,9213,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
047080,한빛소프트,KOSDAQ,보통주,2002/01/10,8920,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
047310,파워로직스,KOSDAQ,보통주,2003/07/25,8359,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
047400,유니온머티리얼,KOSPI,보통주,2009/09/29,6101,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
047560,이스트소프트,KOSDAQ,보통주,2008/07/01,6556,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
047770,코데즈컴바인,KOSDAQ,보통주,2001/09/18,9034,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
047810,한국항공우주,KOSPI,보통주,2011/06/30,5462,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
047820,초록뱀미디어,KOSDAQ,보통주,2002/12/24,8572,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
047920,HLB제약,KOSDAQ,보통주,2015/12/21,3827,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
048410,현대바이오,KOSDAQ,보통주,2002/08/08,8710,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
048430,유라테크,KOSDAQ,보통주,2001/01/11,9284,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
048470,대동스틸,KOSDAQ,보통주,2002/01/10,8920,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
048530,인트론바이오,KOSDAQ,보통주,2011/01/26,5617,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
048550,SM C&C,KOSDAQ,보통주,2001/01/18,9277,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
048770,TPC로보틱스,KOSDAQ,보통주,2001/01/16,9279,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
048830,엔피케이,KOSDAQ,보통주,2000/10/12,9375,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
048870,시너지이노베이션,KOSDAQ,보통주,2004/08/13,7974,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
048910,대원미디어,KOSDAQ,보통주,2001/07/31,9083,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
049070,인탑스,KOSDAQ,보통주,2002/02/21,8878,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
049080,기가레인,KOSDAQ,보통주,2013/12/19,4559,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
049120,파인디앤씨,KOSDAQ,보통주,2001/07/26,9088,include,eligible_current_snapshot,exclude,liquidity_raw_missing,,data_missing,liquidity_raw_missing,0,0,,
