date,code,stock_name,market,horizon_trading_days,evaluation_status,forward_date,target_side,target_weight,raw_forward_return_pct,weighted_return_contribution_pct,benchmark_label,benchmark_join_status,benchmark_return_pct,excess_return_pct,weighted_excess_return_contribution_pct,source_signal_state,target_mode,pnl_mode,order_intent_generated
2025-02-07,351320,에스에이티이엔지,KOSDAQ,1,complete,2025-02-10,LONG,0.050000,7.1713,0.3586,KOSPI,complete,-0.0258,7.1971,0.3599,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-07,102120,어보브반도체,KOSDAQ,1,complete,2025-02-10,LONG,0.050000,2.5522,0.1276,KOSPI,complete,-0.0258,2.5780,0.1289,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-07,171010,램테크놀러지,KOSDAQ,1,complete,2025-02-10,LONG,0.050000,0.1773,0.0089,KOSPI,complete,-0.0258,0.2031,0.0102,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-07,393210,토마토시스템,KOSDAQ,1,complete,2025-02-10,LONG,0.050000,-2.3064,-0.1153,KOSPI,complete,-0.0258,-2.2806,-0.1140,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-07,382150,온코크로스,KOSDAQ,1,complete,2025-02-10,LONG,0.050000,4.5857,0.2293,KOSPI,complete,-0.0258,4.6115,0.2306,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-07,161580,필옵틱스,KOSDAQ,1,complete,2025-02-10,LONG,0.050000,3.3784,0.1689,KOSPI,complete,-0.0258,3.4042,0.1702,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-07,168360,펨트론,KOSDAQ,1,complete,2025-02-10,LONG,0.050000,-0.0922,-0.0046,KOSPI,complete,-0.0258,-0.0664,-0.0033,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-07,042000,카페24,KOSDAQ,1,complete,2025-02-10,LONG,0.050000,0.0000,0.0000,KOSPI,complete,-0.0258,0.0258,0.0013,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-07,475400,씨메스,KOSDAQ,1,complete,2025-02-10,LONG,0.050000,6.8750,0.3438,KOSPI,complete,-0.0258,6.9008,0.3450,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-07,277810,레인보우로보틱스,KOSDAQ,1,complete,2025-02-10,LONG,0.050000,-8.1608,-0.4080,KOSPI,complete,-0.0258,-8.1350,-0.4068,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-07,008830,대동기어,KOSDAQ,1,complete,2025-02-10,LONG,0.050000,-2.1036,-0.1052,KOSPI,complete,-0.0258,-2.0778,-0.1039,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-07,079900,전진건설로봇,KOSPI,1,complete,2025-02-10,LONG,0.050000,4.7619,0.2381,KOSPI,complete,-0.0258,4.7877,0.2394,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-07,301300,바이브컴퍼니,KOSDAQ,1,complete,2025-02-10,LONG,0.050000,-5.4180,-0.2709,KOSPI,complete,-0.0258,-5.3922,-0.2696,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-07,008700,아남전자,KOSPI,1,complete,2025-02-10,LONG,0.050000,2.1829,0.1091,KOSPI,complete,-0.0258,2.2087,0.1104,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-07,059270,해성에어로보틱스,KOSDAQ,1,complete,2025-02-10,LONG,0.050000,1.6250,0.0813,KOSPI,complete,-0.0258,1.6508,0.0825,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-07,064350,현대로템,KOSPI,1,complete,2025-02-10,LONG,0.050000,-1.1307,-0.0565,KOSPI,complete,-0.0258,-1.1049,-0.0552,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-07,219550,디와이디,KOSDAQ,1,complete,2025-02-10,LONG,0.050000,-3.5437,-0.1772,KOSPI,complete,-0.0258,-3.5179,-0.1759,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-07,176750,듀켐바이오,KOSDAQ,1,complete,2025-02-10,LONG,0.050000,9.2157,0.4608,KOSPI,complete,-0.0258,9.2415,0.4621,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
2025-02-10,226950,올릭스,KOSDAQ,1,complete,2025-02-11,LONG,0.050000,29.9625,1.4981,KOSPI,complete,0.7052,29.2573,1.4629,BUY candidate,paper_portfolio_target_smoke_only,paper_backtest_pnl_smoke_only,false
