date,code,stock_name,market,close,signal_state,roc_pct,lookback,rank_in_date_state,source_strategy,signal_mode,pit_liquidity_final_status
2025-01-16,109820,진매트릭스,KOSDAQ,3000,SELL candidate,-19.4631,5,11,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,013360,일성건설,KOSPI,3480,SELL candidate,-18.5012,5,12,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,015020,이스타코,KOSPI,1405,SELL candidate,-16.8639,5,13,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,007370,진양제약,KOSDAQ,6580,SELL candidate,-16.4975,5,14,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,011000,진원생명과학,KOSPI,2345,SELL candidate,-16.3993,5,15,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,039020,이건홀딩스,KOSDAQ,3450,SELL candidate,-15.9562,5,16,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,089790,제이티,KOSDAQ,4895,SELL candidate,-15.7487,5,17,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,007390,네이처셀,KOSDAQ,17660,SELL candidate,-15.5024,5,18,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,084650,랩지노믹스,KOSDAQ,3120,SELL candidate,-15.4472,5,19,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-16,476060,온코닉테라퓨틱스,KOSDAQ,16080,SELL candidate,-15.3684,5,20,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,312610,에이에프더블류,KOSDAQ,1979,BUY candidate,67.7119,5,1,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,106240,파인테크닉스,KOSDAQ,2140,BUY candidate,60.6607,5,2,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,073190,듀오백,KOSDAQ,2810,BUY candidate,47.4292,5,3,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,450140,코오롱모빌리티그룹,KOSPI,3310,BUY candidate,43.2900,5,4,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,219420,링크제니시스,KOSDAQ,7900,BUY candidate,38.1119,5,5,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,229640,LS에코에너지,KOSPI,50800,BUY candidate,35.4667,5,6,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,008730,율촌화학,KOSPI,30950,BUY candidate,32.8326,5,7,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,109080,옵티시스,KOSDAQ,11260,BUY candidate,32.6266,5,8,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,014160,대영포장,KOSPI,1535,BUY candidate,30.3056,5,9,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,000680,LS네트웍스,KOSPI,3935,BUY candidate,30.2980,5,10,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,078600,대주전자재료,KOSDAQ,104200,BUY candidate,29.7634,5,11,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,457550,우진엔텍,KOSDAQ,21550,BUY candidate,29.0419,5,12,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,363260,모비데이즈,KOSDAQ,2420,BUY candidate,27.3014,5,13,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,161580,필옵틱스,KOSDAQ,31050,BUY candidate,26.2195,5,14,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,189860,서전기전,KOSDAQ,5120,BUY candidate,24.5742,5,15,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,054090,삼진엘앤디,KOSDAQ,1029,BUY candidate,24.4256,5,16,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,411080,샌즈랩,KOSDAQ,9170,BUY candidate,24.4233,5,17,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,010120,LS ELECTRIC,KOSPI,222500,BUY candidate,24.2323,5,18,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,110990,디아이티,KOSDAQ,16610,BUY candidate,23.7705,5,19,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,160190,하이젠알앤엠,KOSDAQ,26750,BUY candidate,23.5566,5,20,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,178780,일월지엠엘,KOSDAQ,3800,SELL candidate,-56.0694,5,1,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,019490,하이트론,KOSPI,1704,SELL candidate,-46.2461,5,2,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,101140,인바이오젠,KOSPI,6750,SELL candidate,-34.1463,5,3,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,206400,베노티앤알,KOSDAQ,1772,SELL candidate,-33.8806,5,4,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,012170,아센디오,KOSPI,275,SELL candidate,-33.4140,5,5,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,001210,금호전기,KOSPI,880,SELL candidate,-30.2694,5,6,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,113810,디젠스,KOSDAQ,1357,SELL candidate,-30.1236,5,7,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,418620,이에이트,KOSDAQ,4000,SELL candidate,-29.9475,5,8,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,002630,오리엔트바이오,KOSPI,1330,SELL candidate,-28.1469,5,9,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,064090,인크레더블버즈,KOSDAQ,2090,SELL candidate,-26.5378,5,10,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,015020,이스타코,KOSPI,1337,SELL candidate,-25.0140,5,11,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,025950,동신건설,KOSDAQ,43300,SELL candidate,-24.3007,5,12,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,065500,오리엔트정공,KOSDAQ,4920,SELL candidate,-23.4837,5,13,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,018500,동원금속,KOSPI,1800,SELL candidate,-21.5686,5,14,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,013360,일성건설,KOSPI,3420,SELL candidate,-21.0162,5,15,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,065770,CS,KOSDAQ,1635,SELL candidate,-20.2439,5,16,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,115450,HLB테라퓨틱스,KOSDAQ,11390,SELL candidate,-18.6429,5,17,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,011080,형지I&C,KOSDAQ,1135,SELL candidate,-18.4626,5,18,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,263720,디앤씨미디어,KOSDAQ,18600,SELL candidate,-17.8808,5,19,001-strategy-universe-momentum,paper_signal_candidate_only,include
2025-01-17,045660,에이텍,KOSDAQ,26750,SELL candidate,-17.8187,5,20,001-strategy-universe-momentum,paper_signal_candidate_only,include
