code,name,market,security_type,status,reason
207490,에이펙스인텍,KONEX,보통주,exclude,market_not_allowed
208850,이비테크,KONEX,보통주,exclude,market_not_allowed
208890,미래엔에듀파트너,KONEX,보통주,exclude,market_not_allowed
212310,오건에코텍,KONEX,보통주,exclude,market_not_allowed
214610,롤링스톤,KOSDAQ,보통주,exclude,managed_issue_current
215570,크로넥스,KONEX,보통주,exclude,market_not_allowed
216400,인바이츠바이오코아,KONEX,보통주,exclude,market_not_allowed
217320,썬테크,KONEX,보통주,exclude,market_not_allowed
217480,에스디생명공학,KOSDAQ,보통주,exclude,managed_issue_current
217880,틸론,KONEX,보통주,exclude,market_not_allowed
217910,에스제이켐,KONEX,보통주,exclude,market_not_allowed
217950,파마리서치바이오,KONEX,보통주,exclude,market_not_allowed
219550,디와이디,KOSDAQ,보통주,exclude,managed_issue_current
222160,NPX,KOSDAQ,보통주,exclude,managed_issue_current
222670,플럼라인생명과학,KONEX,보통주,exclude,market_not_allowed
223220,로지스몬,KONEX,보통주,exclude,market_not_allowed
224760,엔에스컴퍼니,KONEX,보통주,exclude,market_not_allowed
224810,엄지하우스,KONEX,보통주,exclude,market_not_allowed
227100,프로브잇,KOSDAQ,보통주,exclude,managed_issue_current
227420,도부,KONEX,보통주,exclude,market_not_allowed
229500,노브메타파마,KONEX,보통주,exclude,market_not_allowed
232530,이엠티,KONEX,보통주,exclude,market_not_allowed
233250,메디안디노스틱,KONEX,보통주,exclude,market_not_allowed
233990,질경이,KONEX,보통주,exclude,market_not_allowed
234070,에이원큐브텍,KONEX,보통주,exclude,market_not_allowed
234920,자이글,KOSDAQ,보통주,exclude,managed_issue_current
236030,씨알푸드,KONEX,보통주,exclude,market_not_allowed
236340,메디젠휴먼케어,KONEX,보통주,exclude,market_not_allowed
238500,솔루믹스,KONEX,보통주,exclude,market_not_allowed
241820,피씨엘,KOSDAQ,보통주,exclude,managed_issue_current
243870,아이티센코어,KONEX,보통주,exclude,market_not_allowed
244460,올리패스,KOSDAQ,보통주,exclude,managed_issue_current
244880,나눔테크,KONEX,보통주,exclude,market_not_allowed
245450,씨앤에스링크,KONEX,보통주,exclude,market_not_allowed
245620,EDGC,KOSDAQ,보통주,exclude,managed_issue_current
246250,에스엘에스바이오,KOSDAQ,보통주,exclude,managed_issue_current
246720,아스타,KOSDAQ,보통주,exclude,managed_issue_current
250030,진코스텍,KONEX,보통주,exclude,market_not_allowed
251280,안지오랩,KONEX,보통주,exclude,market_not_allowed
253610,루트락,KONEX,보통주,exclude,market_not_allowed
254160,제이엠멀티,KONEX,보통주,exclude,market_not_allowed
258050,테크트랜스,KONEX,보통주,exclude,market_not_allowed
258830,세종메디칼,KOSDAQ,보통주,exclude,managed_issue_current
260870,SK시그넷,KONEX,보통주,exclude,market_not_allowed
263050,유틸렉스,KOSDAQ,보통주,exclude,managed_issue_current
26490K,크라운제과우,KOSPI,신형우선주,exclude,instrument_type_excluded
266170,레드우즈,KONEX,보통주,exclude,market_not_allowed
266350,팡스카이,KONEX,보통주,exclude,market_not_allowed
266470,바이오인프라생명과학,KONEX,보통주,exclude,market_not_allowed
267080,세븐브로이맥주,KONEX,보통주,exclude,market_not_allowed
269620,시스웍,KOSDAQ,보통주,exclude,managed_issue_current
270210,에스알바이오텍,KONEX,보통주,exclude,market_not_allowed
276040,스코넥,KOSDAQ,보통주,exclude,managed_issue_current
276240,엘리비젼,KONEX,보통주,exclude,market_not_allowed
278990,EMB,KONEX,보통주,exclude,market_not_allowed
279060,이노벡스,KONEX,보통주,exclude,market_not_allowed
284620,카이노스메드,KOSDAQ,보통주,exclude,managed_issue_current
28513K,SK케미칼우,KOSPI,종류주권,exclude,preferred_share_name
288330,파라택시스코리아,KOSDAQ,보통주,exclude,managed_issue_current
289170,바이오텐,KONEX,보통주,exclude,market_not_allowed
293940,신한알파리츠,KOSPI,보통주,exclude,instrument_name_excluded
294090,이오플로우,KOSDAQ,보통주,exclude,preferred_share_name;managed_issue_current
294140,레몬,KOSDAQ,보통주,exclude,managed_issue_current
296160,프로젠,KONEX,보통주,exclude,market_not_allowed
296520,가이아코퍼레이션,KONEX,보통주,exclude,market_not_allowed
298060,풍전약품,KOSDAQ,보통주,exclude,managed_issue_current
299480,지앤이헬스케어,KONEX,보통주,exclude,market_not_allowed
302920,더콘텐츠온,KONEX,보통주,exclude,market_not_allowed
309710,아이티켐,KOSDAQ,보통주,exclude,managed_issue_current
311060,엘에이티,KONEX,보통주,exclude,market_not_allowed
311960,인터로이드,KONEX,보통주,exclude,market_not_allowed
313760,캐리,KOSDAQ,보통주,exclude,managed_issue_current
317860,노드메이슨,KONEX,보통주,exclude,market_not_allowed
318660,타임기술,KONEX,보통주,exclude,market_not_allowed
322970,무진메디,KONEX,보통주,exclude,market_not_allowed
327610,펨토바이오메드,KONEX,보통주,exclude,market_not_allowed
330590,롯데리츠,KOSPI,보통주,exclude,instrument_name_excluded
331660,한국미라클피플사,KONEX,보통주,exclude,market_not_allowed
